     n      time
     0    0.000000
    10    0.000000
    20    0.000000
    30    0.000000
    40    0.000000
    50    0.000000
    60    0.000000
    70    0.000000
    80    0.000000
    90    0.000000
   100    0.000000
   200    0.000000
   300    0.001000
   400    0.000000
   500    0.001000
   600    0.001000
   700    0.001000
   800    0.002000
   900    0.002000
  1000    0.002000
  1100    0.003000
  1200    0.003000
  1300    0.005000
  1400    0.005000
  1500    0.005000
  1600    0.007000
  1700    0.007000
  1800    0.009000
  1900    0.010000
  2000    0.013000
